StorySentences,NSBs,Cue,NeutralStatement,Neg1.thisRepN,Neg1.thisTrialN,Neg1.thisN,Neg1.thisIndex,NSB1.thisRepN,NSB1.thisTrialN,NSB1.thisN,NSB1.thisIndex,Neu1.thisRepN,Neu1.thisTrialN,Neu1.thisN,Neu1.thisIndex,NeuSta1.thisRepN,NeuSta1.thisTrialN,NeuSta1.thisN,NeuSta1.thisIndex,Neg2.thisRepN,Neg2.thisTrialN,Neg2.thisN,Neg2.thisIndex,Start_Button.started,Start_Button.numClicks,Start_Button.timesOn,Start_Button.timesOff,ConditionTextBox.started,ConditionDone.started,ConditionTextBox.text,ConditionDone.numClicks,ConditionDone.timesOn,ConditionDone.timesOff,GetReady_Text.started,GetRead_Cross.started,StorySentence_Text.started,Rating_Text.started,Rating_Response.started,Rating_Done.started,Rating_Response.response,Rating_Response.rt,Rating_Done.numClicks,Rating_Done.timesOn,Rating_Done.timesOff,Trial_NSB.started,Trial_Cue.started,Trial_Cue.stopped,Trial_RatingText.started,Trial_RatingResponse.started,Trial_NSB.stopped,Trial_ResponseDone.started,Trial_RatingResponse.response,Trial_RatingResponse.rt,Trial_ResponseDone.numClicks,Trial_ResponseDone.timesOn,Trial_ResponseDone.timesOff,GetReady_Text.stopped,GetRead_Cross.stopped,NeutralStatement_Text.started,NeutralStatement_Text.stopped,RegulationRating_Text.started,RegulationRating_Response.started,RegulationRating_Done.started,RegulationRating_Response.response,RegulationRating_Response.rt,RegulationRating_Done.numClicks,RegulationRating_Done.timesOn,RegulationRating_Done.timesOff,BContinue_Button.started,BContinue_Text.started,BContinue_Button.numClicks,BContinue_Button.timesOn,BContinue_Button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
,Facilisi! Integer ac commodo pede quam urna scelerisque tempus malesuada.,REACT,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.05558009992819,96.0487460999284,108.05159559997264,108.05159559997264,108.05159559997264,108.06064409995452,109.02115699998103,4.0,15.9586566000944,1,[0.48672069993335754],[0.48672359995543957],,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,Eleifend ut venenatis! A dolorem justo gravida. Fusce pretium augue eleifend? Facilisis vitae gravida.,REGULATE,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.51432409998961,112.50673869997263,124.50956679997034,124.50956679997034,124.50956679997034,124.51826699997764,125.14651509991381,3.0,15.625509400037117,1,[0.5866171000525355],[0.5866193000692874],,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,Lorem vulputate dapibus pretium fringilla pharetra urna at at et atque lectus.,REACT,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.73815130000003,128.73142049997114,140.73432569997385,140.73432569997385,140.73432569997385,140.743338799919,141.25480389990844,5.0,15.509992999956012,1,[0.39466809993609786],[0.39467129996046424],,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,Vel egestas elit vel. Iaculis orci? Lectus donec luctus nibh urna. Eros iaculis accumsan tempora.,REGULATE,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.6538624999812,144.64783169992734,156.65082029998302,156.65082029998302,156.65082029998302,156.655020999955,158.2350380999269,4.0,16.573729900061153,1,[0.2669262000126764],[0.26692850003018975],,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,Nonummy natoque malesuada metus pellentesque lorem. Eleifend arcu vulputate. Vestibulum faucibus morbi nibh? Duis.,REACT,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.50726069998927,161.49767269997392,173.4974069999298,173.50333430001047,173.50333430001047,173.5120226999279,173.89613829995506,5.0,15.382518999977037,1,[0.3063296000473201],[0.30633230006787926],,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,"Sollicitudin quis nibh ante felis sapien enim? Ante magna. Laoreet rutrum dui, natoque! Pretium sollicitudin.",REGULATE,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.20912859996315,177.20009820000269,189.20321459998377,189.20321459998377,189.20321459998377,189.2121187999146,201.7435716999462,3.0,27.52754919999279,1,[0.3532070000655949],[0.35320910008158535],,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,Orci pellentesque sollicitudin ab wisi nunc ridiculus dignissim eget consequat aliquet leo laoreet.,REACT,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.10126219992526,205.09408069995698,217.09695359994657,217.09695359994657,217.09695359994657,217.10575429990422,218.16390269994736,3.0,16.05596400005743,1,[1.4139470000518486],[1.4139492000686005],,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,Orci tortor elementum nulla. Facilisi lectus rhoncus sagittis viverra vitae.,REGULATE,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.5821727999719,222.5742960999487,234.57746880000923,234.57746880000923,234.57746880000923,234.5868247000035,235.60177299997304,3.0,16.01296480000019,1,[1.56027679995168],[1.5602799999760464],,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
John and Jack are good friends.,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,237.16059509990737,237.16059509990737,240.16576529992744,,,,,,,,,,,,,,,,,,,,,240.16576529992744,240.16576529992744,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
"On Tuesday after school, they went to the playground.",,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,243.16371689992957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
They played tag at the playground.,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,246.1633046999341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
John liked to go on the swings.,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,249.16359449992888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
Jack liked to play basketball.,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,252.16349209996406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
They went home after playing at the playground.,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,255.16403320000973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,,,Good morning.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.1665448999265,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,,,It will be sunny.,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.16333639994264,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,,,Where is the washroom?,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.16435549990274,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,,,I have no news today.,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.1624443999026,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,,,This is a sentence.,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.16233249998186,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,,,See you later.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.16231539996807,330.1672189999372,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
Ut atque,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,350.8681607999606,350.8681607999606,cond 2,1,[2.84637120005209],[2.8463737999554724],353.7138763999101,353.7138763999101,356.7185033999849,330.1672189999372,330.1672189999372,331.81815249996725,1.0,2.6293356999522075,1,[1.3735876999562606],[1.373590699979104],,,,,,,,,,,,,356.7185033999849,356.7185033999849,,,333.19782279990613,333.19782279990613,341.70097669993993,1.0,12.317010500002652,1,[5.404641699977219],[5.404643999994732],347.10562509996817,347.10562509996817,1,[3.7611315000103787],[3.761133600026369],842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.71705440001097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
